city,lat,lng
"Pleasant Hill, California",37.9479786,-122.0607963
"Rancho Cucamonga, California",34.10639889999999,-117.5931084
"Reseda, California",34.2011141,-118.5360517
"Riverside, California",33.9806005,-117.3754942
"Sacramento, California",38.5815719,-121.4943996
"San Bruno, California",37.6304904,-122.4110835
"San Diego, California",32.715738,-117.1610838
"San Francisco, California",37.7749295,-122.4194155
"San Jose, California",37.3382082,-121.8863286
"San Leandro, California",37.7249296,-122.1560768
"San Lorenzo, California",37.6810422,-122.1244088
"San Ramon, California",37.7799273,-121.9780153
"Santa Clara, California",37.3541079,-121.9552356
"Simi Valley, California",34.2694474,-118.781482
"Spring Valley, California",32.744774,-116.998916
"Temecula, California",33.4936391,-117.1483648
"Torrance, California",33.8358492,-118.3406288
"Tracy, California",37.7396513,-121.4252227
"Union City, California",37.5933918,-122.0438298
"Upland, California",34.09751,-117.6483876
"Walnut Creek, California",37.9100783,-122.0651819
"West Sacramento, California",38.5804609,-121.530234
"Yuba City, California",39.1404477,-121.6169108
"Carmichael, California",38.617127,-121.32828430000001
"Fair Oaks, California",38.6446264,-121.2721718
"Fresno, California",36.7377981,-119.7871247
"Glendale, California",34.1425078,-118.255075
"Granada Hills, California",34.2793576,-118.5021527
"North Highlands, California",38.6857362,-121.3721745
"Ojai, California",34.4480495,-119.242889
"Pasadena, California",34.1477849,-118.1445155
"Rancho Cordova, California",38.5890723,-121.302728
"Rio Linda, California",38.69101380000001,-121.4485654
"Sun Valley, California",34.2279298,-118.3812562
"Tujunga, California",34.2596475,-118.3082747
"Van Nuys, California",34.1898566,-118.451357
"Castro Valley, California",37.6940973,-122.0863522
"La Jolla, California",32.8328112,-117.2712717
"San Rafael, California",37.9735346,-122.5310874
"Sherman Oaks, California",34.1489719,-118.451357
"Tarzana, California",34.1494848,-118.5506158
"Tustin, California",33.7420005,-117.8236391
"Valley Village, California",34.1633045,-118.3841777
"West Covina, California",34.0686208,-117.9389526
"Petaluma, California",38.232417,-122.6366524
"Corona, California",33.8752935,-117.5664384
"Daly City, California",37.6879241,-122.4702079
"Elverta, California",38.7145064,-121.4628072
"Granite Bay, California",38.7632345,-121.1638361
"Hemet, California",33.7475203,-116.9719684
"Martinez, California",38.0193657,-122.1341321
"Plumas, California",39.99268319999999,-120.8039474
"Redondo Beach, California",33.8491816,-118.3884078
"San Clemente, California",33.4273521,-117.6126004
"Santa Ana, California",33.7454725,-117.867653
"Santa Barbara, California",34.4208305,-119.6981901
"Sausalito, California",37.8590937,-122.4852507
"Woodland Hills, California",34.165357,-118.6089752
"Folsom, California",38.6779591,-121.1760583
"Oakland, California",37.8043637,-122.2711137
"Woodland, California",38.67851570000001,-121.7732971
"Campbell, California",37.2871651,-121.9499568
"Palm Springs, California",33.8302961,-116.5452921
"Alhambra, California",34.095287,-118.1270146
"Alta Loma, California",34.1222317,-117.5981086
"Altadena, California",34.190162,-118.1313188
"Antioch, California",38.0049214,-121.805789
"Arcadia, California",34.1397292,-118.0353449
"Bakersfield, California",35.3732921,-119.0187125
"Bay Point, California",38.0290872,-121.9616274
"Canyon Country, California",34.4235425,-118.4720633
"Chino, California",34.0122346,-117.688944
"Chula Vista, California",32.6400541,-117.0841955
"Colton, California",34.0739016,-117.3136547
"Covina, California",34.0900091,-117.8903397
"Culver City, California",34.0211224,-118.3964665
"El Dorado Hills, California",38.6857367,-121.082167
"El Sobrante, California",37.9771452,-122.2952474
"Mission Viejo, California",33.5968913,-117.6581562
"Ontario, California",34.0633443,-117.6508876
"Oxnard, California",34.1975048,-119.1770516
"Palmdale, California",34.5794343,-118.1164613
"Panorama City, California",34.227617,-118.442425
"Parlier, California",36.6116174,-119.5270734
"Pico Rivera, California",33.9830688,-118.096735
"Pittsburg, California",38.0279762,-121.8846806
"Redlands, California",34.0555693,-117.1825381
"Riverdale, California",36.431061,-119.8595833
"Riviera, California",38.5668504,-121.356896
"Rosemead, California",34.0805651,-118.072846
"San Dimas, California",34.1066756,-117.8067257
"San Gabriel, California",34.09611110000001,-118.1058333
"Santa Rosa, California",38.440429,-122.7140548
"South San Francisco, California",37.654656,-122.4077498
"Westminster, California",33.7591757,-117.9897058
"Yucca Valley, California",34.1141743,-116.432235
"El Cerrito, California",37.9161326,-122.310765
"El Monte, California",34.0686206,-118.0275667
"Monterey Park, California",34.0625106,-118.1228476
"San Bernardino, California",34.1083449,-117.2897652
"Alamo, California",37.8502032,-122.032184
"Bell, California",33.9775142,-118.1870156
"Burlingame, California",37.5778696,-122.34809
"Carson, California",33.8316745,-118.281693
"Diamond Bar, California",34.0286226,-117.8103367
"Downey, California",33.9401088,-118.1331593
"Gardena, California",33.8883487,-118.3089624
"Hacienda Heights, California",33.9930677,-117.9686755
"Hawthorne, California",33.9164032,-118.3525748
"Huntington Park, California",33.9816812,-118.2250725
"Inglewood, California",33.9616801,-118.3531311
"Joshua Tree, California",34.134728,-116.3130661
"Lomita, California",33.7922392,-118.3150722
"Lynnwood, California",33.930293,-118.2114603
"Norwalk, California",33.9022367,-118.081733
"Penngrove, California",38.29975,-122.6664251
"San Mateo, California",37.5629917,-122.3255254
"South Gate, California",33.954737,-118.2120161
"Davis, California",38.5449065,-121.7405167
"La Quinta, California",33.6633573,-116.3100095
"Camarillo, California",34.2163937,-119.0376023
"Richmond, California",37.9357576,-122.3477486
"South El Monte, California",34.0519548,-118.0467339
"Capistrano Beach, California",33.4596667,-117.6690208
"Escondido, California",33.1192068,-117.086421
"Mountain View, California",37.3860517,-122.0838511
"Pacifica, California",37.6138253,-122.4869194
"Palo Alto, California",37.4418834,-122.1430195
"Santee, California",32.8383828,-116.9739167
"La Mirada, California",33.9172357,-118.0120086
"Roseville, California",38.7521235,-121.2880059
"Studio City, California",34.1395597,-118.3870991
"Agoura Hills, California",34.1533395,-118.7616764
"Albany, California",37.88687,-122.2977475
"Aliso Viejo, California",33.5684605,-117.7262981
"American Canyon, California",38.1749178,-122.2608044
"Auburn, California",38.8965654,-121.0768901
"Azusa, California",34.1336186,-117.9075627
"Bellflower, California",33.8816818,-118.1170117
"Benicia, California",38.049365,-122.1585777
"Beverly Hills, California",34.0736204,-118.4003563
"Bonita, California",32.6583258,-117.0352904
"Buena Park, California",33.8674044,-117.9981387
"Calabasas, California",34.1367208,-118.6614809
"Cambria, California",35.5641381,-121.0807468
"Cardiff-By-The-Sea, California",33.0208265,-117.2788973
"Carlsbad, California",33.1580933,-117.3505939
"Cerritos, California",33.8583483,-118.0647871
"Chatsworth, California",34.2506356,-118.61481
"Chino Hills, California",33.9898188,-117.7325848
"Clayton, California",37.9410341,-121.9357925
"Clovis, California",36.8252277,-119.7029194
"Corona Del Mar, California",33.5978595,-117.8730142
"Costa Mesa, California",33.6412156,-117.9188221
"Danville, California",37.8215929,-121.9999606
"Del Mar, California",32.9594891,-117.2653146
"Delhi, California",37.4321589,-120.7785354
"Denair, California",37.526323,-120.7968711
"Dixon, California",38.4454641,-121.8232958
"Duarte, California",34.1394513,-117.9772873
"Encinitas, California",33.0369867,-117.2919818
"Esparto, California",38.6921258,-122.0171925
"Exeter, California",36.2960613,-119.1420517
"Fairfield, California",38.24935809999999,-122.0399663
"Fillmore, California",34.3991639,-118.918154
"Glendora, California",34.1361187,-117.865339
"Glenoaks, California",34.2670492,-118.4045126
"Gold River, California",38.6262937,-121.2466156
"Grand Terrace, California",34.0339031,-117.3136544
"Greenbrae, California",37.9476326,-122.5252604
"Hesperia, California",34.4263886,-117.3008784
"Highland, California",34.1283442,-117.2086513
"Hughson, California",37.6027244,-120.8664811
"Kensington, California",37.9104805,-122.2802471
"Keyes, California",37.5565994,-120.9154858
"La  Canada, California",34.2068182,-118.2000277
"La Canada, California",34.2068182,-118.2000277
"La Canada Flintridge, California",34.2068182,-118.2000277
"La Crescenta, California",34.228754,-118.2351192
"La Palma, California",33.8463218,-118.0461393
"La Puente, California",34.0200114,-117.9495083
"La Tuna Canyon, California",34.2368315,-118.3195321
"La Verne, California",34.1008426,-117.7678355
"Laguna Beach, California",33.5427189,-117.7853568
"Laguna Hills, California",33.5916433,-117.6986604
"Lake Forest, California",33.6469437,-117.6861023
"Lake View Terrace, California",34.2763908,-118.3611912
"Lakeside, California",32.8572718,-116.9222488
"Lakeview Terrace, California",34.2763908,-118.3611912
"Lincoln, California",38.891565,-121.2930079
"Long Beach, California",33.7700504,-118.1937395
"Los Alamitos, California",33.8032009,-118.0718894
"Los Altos, California",37.3852183,-122.1141298
"Los Altos Hills, California",37.3796627,-122.1374637
"Los Gatos, California",37.2358078,-121.9623751
"Menlo Park, California",37.4529598,-122.1817252
"Mill Valley, California",37.9060368,-122.5449763
"Montebello, California",34.0165053,-118.1137535
"Montrose, California",34.228754,-118.2351192
"Moorpark, California",34.285558,-118.8820414
"Moraga, California",37.8349263,-122.1296871
"Moreno Valley, California",33.9424658,-117.2296717
"National City, California",32.6781085,-117.0991967
"Newhall, California",34.373361,-118.5400404
"Newport Coast, California",33.5973864,-117.8369007
"North Ridge, California",34.2381251,-118.530123
"Northridge, California",34.2381251,-118.530123
"Northrige, California",34.2381251,-118.530123
"Novato, California",38.1074198,-122.5697032
"Oak Park, California",34.1791715,-118.7628685
"Oakley, California",37.9974219,-121.7124536
"Orange, California",33.7879139,-117.8531007
"Orinda, California",37.8771476,-122.1796888
"Pacific Palisades, California",34.03563310000001,-118.5155901
"Pacoima, California",34.2767691,-118.4104684
"Parthenia, California",34.2286469,-118.5249674
"Pinole, California",38.0043667,-122.2988587
"Placentia, California",33.8710729,-117.8627548
"Playa Del Rey, California",33.9564194,-118.4422317
"Pleasanton, California",37.6624312,-121.8746789
"Pomona, California",34.055103,-117.7499909
"Porter Ranch, California",34.2822134,-118.5506158
"Poway, California",32.9628232,-117.0358646
"Rancho Palos Verdes, California",33.7444613,-118.3870173
"Rancho Santa Margarita, California",33.640171,-117.602832
"Redwood City, California",37.48521520000001,-122.2363548
"Redwood Shores, California",37.5364134,-122.2455364
"Rialto, California",34.1064001,-117.3703235
"Ripon, California",37.7394537,-121.1354141
"Riverbank, California",37.7360396,-120.9354895
"Rohnert Park, California",38.3396367,-122.7010984
"Rolling Hills, California",33.7569615,-118.3539613
"San Carlos, California",37.5071591,-122.2605222
"San Juan Capistrano, California",33.5019027,-117.6627655
"San Marcos, California",33.1433723,-117.1661449
"San Pablo, California",37.9621457,-122.3455263
"San Pedro, California",33.7360619,-118.2922461
"Santa Clarita, California",34.3916641,-118.542586
"Santa Margarita, California",35.3899526,-120.6092971
"Santa Monica, California",34.0194543,-118.4911912
"Saugus, California",34.4113854,-118.5400858
"Shadow Hills, California",34.2575262,-118.3549609
"Stanton, California",33.8028875,-117.9931203
"Stevenson Ranch, California",34.3931105,-118.5907538
"Stockton, California",37.9577016,-121.2907796
"Sun Land, California",34.2596475,-118.3082747
"Sunland, California",34.2596475,-118.3082747
"Sunnyvale, California",37.36883,-122.0363496
"Sylmar, California",34.3058279,-118.4571974
"Temple City, California",34.1072305,-118.0578456
"Thousand Oaks, California",34.1705609,-118.8375937
"Tiburon, California",37.8735377,-122.4566392
"Toluca Lake, California",34.1501794,-118.3549609
"Trabuco Canyon, California",33.6655081,-117.5869862
"Turlock, California",37.4946568,-120.8465941
"Vacaville, California",38.3565773,-121.9877444
"Valencia, California",34.456151,-118.5713823
"Vallejo, California",38.1040864,-122.2566367
"Visalia, California",36.3302284,-119.2920585
"Vista, California",33.2000368,-117.2425355
"Walnut, California",34.0202894,-117.8653386
"West Hills, California",34.1973122,-118.6439809
"West Los Angeles, California",34.0412085,-118.442596
"Westlake Village, California",34.1466467,-118.8073729
"Whittier, California",33.9791793,-118.032844
"Windsor Hills, California",33.9929545,-118.3491169
"Winnetka, California",34.2048586,-118.5739621
"Yorba Linda, California",33.88850350000001,-117.8132571
"Alpine, California",32.8350521,-116.7664109
"Apple Valley, California",34.5008311,-117.1858759
"Barstow, California",34.8957957,-117.0172826
"Casa De Oro, California",32.7489409,-116.98086
"Cathedral City, California",33.7805388,-116.4668036
"Ceres, California",37.5949316,-120.9577098
"Coronado, California",32.6858853,-117.1830891
"Cypress, California",33.8169366,-118.0368507
"Desert Hot Springs, California",33.961124,-116.5016784
"Foothill Ranch, California",33.6831832,-117.6664308
"Hercules, California",38.0171441,-122.2885808
"Imperial, California",32.8475528,-115.5694391
"Jamul, California",32.7169988,-116.8761347
"Ladera Ranch, California",33.550735,-117.6411717
"Lafayette, California",37.8857582,-122.1180201
"Lake Elsinore, California",33.6680772,-117.3272615
"Lakewood, California",33.8536269,-118.1339563
"Loma Linda, California",34.0483474,-117.2611527
"Marina, California",36.68440289999999,-121.802173
"Marina Del Rey, California",33.9802893,-118.4517449
"Millbrae, California",37.5985468,-122.3871942
"Milpitas, California",37.4323341,-121.8995741
"Montclair, California",34.0775104,-117.6897776
"Monterey, California",36.6002378,-121.8946761
"Nipomo, California",35.0427547,-120.4759986
"Orangevale, California",38.6785145,-121.2257818
"Oroville, California",39.5137752,-121.556359
"Pacific Grove, California",36.6177374,-121.9166215
"Rancho Mirage, California",33.739744,-116.41279
"Salinas, California",36.6777372,-121.6555013
"San Fernando, California",34.2819461,-118.4389719
"San Jacinto, California",33.7839084,-116.958635
"Saratoga, California",37.2638324,-122.0230146
"Seaside, California",36.6149217,-121.822098
"Tustin Ranch, California",33.7400352,-117.7835849
"Twentynine Palms, California",34.1355582,-116.0541689
"Winters, California",38.5249065,-121.9708017
"Hillsborough, California",37.5741032,-122.3794163
"Mather, California",38.5434594,-121.2783728
"Atwater, California",37.3477174,-120.609084
"Banning, California",33.9255713,-116.8764103
"Bloomington, California",34.07029,-117.3958797
"Chico, California",39.7284944,-121.8374777
"Crescent City, California",41.7557501,-124.2025913
"Eureka, California",40.8020712,-124.1636729
"Goleta, California",34.4358294,-119.8276389
"Hanford, California",36.3274502,-119.6456844
"Lompoc, California",34.6391501,-120.4579409
"Marysville, California",39.1457253,-121.5913547
"Merced, California",37.3021632,-120.4829677
"Olivehurst, California",39.0954484,-121.5521858
"Orland, California",39.7473803,-122.1963748
"Palermo, California",39.4354432,-121.5380243
"Pinedale, California",36.8411529,-119.7961611
"Selma, California",36.5707838,-119.6120765
"Sheridan, California",38.979553,-121.3761032
"Wheatland, California",39.0098946,-121.4230133
"Willows, California",39.5243265,-122.1935931
"Winton, California",37.389383,-120.6132516
"Guinda, California",38.82919649999999,-122.1928955
"Hinkley, California",34.9344769,-117.1993469
"Suisun City, California",38.2382474,-122.040244
"Victorville, California",34.5362184,-117.2927641
"West Hollywood, California",34.0900091,-118.3617443
"Adelanto, California",34.5827699,-117.409215
"Belmont, California",37.5202145,-122.2758008
"Highlands, California",34.1283442,-117.2086513
"Napa, California",38.2975381,-122.286865
"Salida, California",37.7057623,-121.0849369
"Palm Desert, California",33.7222445,-116.3744556
"Lemon Grove, California",32.7425516,-117.0314172
"Tehama, California",40.0271015,-122.1233228
"Carpinteria, California",34.39888380000001,-119.5184564
"Foster City, California",37.5585465,-122.2710788
"Grass Valley, California",39.2190608,-121.0610606
"Half Moon Bay, California",37.4635519,-122.4285862
"Hollywood, California",34.0928092,-118.3286614
"Kerman, California",36.72355719999999,-120.059879
"North, California",38.8375215,-120.8958242
"Penryn, California",38.8519794,-121.1692868
"Rancho, California",33.5087683,-117.1289711
"Rocklin, California",38.7907339,-121.2357828
"Sanger, California",36.708006,-119.5559652
"Shasta Lake, California",40.6804279,-122.3708419
"Shingle Springs, California",38.6691362,-120.9359987
"Arleta, California",34.2504595,-118.4338345
"Baldwin Park, California",34.0852868,-117.9608978
"Canyon Lake, California",33.6850215,-117.2730931
"Lawndale, California",33.887237,-118.3525744
"Marin City, California",37.868538,-122.5091404
"Midway City, California",33.7446861,-117.9863236
"Mira Loma, California",33.9845417,-117.5159449
"Mont Clair, California",34.0775104,-117.6897776
"Santa Cruz, California",36.9741171,-122.0307963
"Signal Hill, California",33.8044614,-118.1678456
"Villa Park, California",33.81400620000001,-117.8220723
"Colorado Springs, Colorado",38.8338816,-104.8213634
"Denver, Colorado",39.7392358,-104.990251
"Englewood, Colorado",39.6477653,-104.9877597
"Lakewood, Colorado",39.7047095,-105.0813734
"Thornton, Colorado",39.8680412,-104.9719243
"Aurora, Colorado",39.7294319,-104.8319195
"Superior, Colorado",39.95276339999999,-105.1685977
"Boulder, Colorado",40.0149856,-105.2705456
"Edgewater, Colorado",39.75304250000001,-105.0641503
"Littleton, Colorado",39.613321,-105.0166498
"Wheat Ridge, Colorado",39.766098,-105.0772063
"Broomfield, Colorado",39.9205411,-105.0866504
"Centennial, Colorado",39.5807452,-104.8771726
"Highlands Ranch, Colorado",39.5480789,-104.9739333
"Indian Hills, Colorado",39.6166545,-105.2372124
"Northglenn, Colorado",39.8961821,-104.9811468
"Westminster, Colorado",39.8366528,-105.0372046
"Fort Collins, Colorado",40.5852602,-105.084423
"Brighton, Colorado",39.9852617,-104.8205283
"Erie, Colorado",40.0502623,-105.0499817
"Greeley, Colorado",40.4233142,-104.7091322
"Arvada, Colorado",39.8027644,-105.0874842
"Golden, Colorado",39.755543,-105.2210997
"Grand Junction, Colorado",39.0638705,-108.5506486
"Greenwood Village, Colorado",39.6172101,-104.9508141
"Monument, Colorado",39.0916586,-104.872758
"Eagle, Colorado",39.6552634,-106.8286507
"Pueblo, Colorado",38.2544472,-104.6091409
"West Littleton, Colorado",39.613321,-105.0166498
"Henderson, Colorado",39.9202178,-104.8660597
"Commerce City, Colorado",39.8083196,-104.9338675
"Glendale, Colorado",39.7049873,-104.9335904
"Silverthorne, Colorado",39.6296191,-106.0712941
"Longmont, Colorado",40.1672068,-105.1019275
"Decatur, Colorado",39.8171659,-105.0219563
"Fort Morgan, Colorado",40.2502582,-103.7999509
"Lafayette, Colorado",39.9935959,-105.0897058
"Parker, Colorado",39.5186002,-104.7613633
"Colorado, Colorado",39.5500507,-105.7820674
"New Castle, Colorado",39.5727585,-107.5364443
"Ansonia, Connecticut",41.34620779999999,-73.07899689999999
"Bridgeport, Connecticut",41.1792258,-73.1894384
"Clinton, Connecticut",41.2882208,-72.5288034
"Hartford, Connecticut",41.7658043,-72.6733723
"Killingworth, Connecticut",41.3581869,-72.5645602
"Madison, Connecticut",41.2959908,-72.5754149
"Milford, Connecticut",41.2306979,-73.064036
"New Haven, Connecticut",41.308274,-72.9278835
"South Britain, Connecticut",41.4711343,-73.2506346
"Trumbull, Connecticut",41.2428563,-73.2006639
"West Haven, Connecticut",41.2705484,-72.9469711
"Woodbridge, Connecticut",41.352597,-73.0084385
"Manchester, Connecticut",41.7759301,-72.52150089999999
"Greenwich, Connecticut",41.0262417,-73.6281964
"West Hartford, Connecticut",41.7620842,-72.7420151
"North Haven, Connecticut",41.39091390000001,-72.8595447
"Branford, Connecticut",41.2799027,-72.81411849999999
"Derby, Connecticut",41.3206523,-73.0889973
"East Haven, Connecticut",41.2841687,-72.8684565
"New Britain, Connecticut",41.6612104,-72.7795419
"Rocky Hill, Connecticut",41.6572525,-72.66557569999999
"Torrington, Connecticut",41.8003049,-73.1211715
"Norwalk, Connecticut",41.11774399999999,-73.4081575
"Quaker Hill, Connecticut",41.4035625,-72.1122491
"Waterbury, Connecticut",41.5581525,-73.0514965
"Hamden, Connecticut",41.3838782,-72.9026064
"Hebron, Connecticut",41.6578767,-72.36591609999999
"New London, Connecticut",41.3556539,-72.0995209
"Stamford, Connecticut",41.0534302,-73.5387341
"Shelton, Connecticut",41.3164856,-73.0931641
"Middletown, Connecticut",41.5623209,-72.6506488
"Meriden, Connecticut",41.5381535,-72.80704349999999
"Stratford, Connecticut",41.18454149999999,-73.1331651
"Avon, Connecticut",41.8096201,-72.8305154
"Glastonbury, Connecticut",41.6861794,-72.5450779
"Bristol, Connecticut",41.67176480000001,-72.9492703
"Cheshire, Connecticut",41.5083668,-72.9106202
"East Hampton, Connecticut",41.5757748,-72.5026249
"Kensington, Connecticut",41.6353769,-72.7687083
"Newtown, Connecticut",41.4141172,-73.3035651
"Sandy Hook, Connecticut",41.4218208,-73.2833176
"Vernon, Connecticut",41.8186802,-72.47903699999999
"Wethersfield, Connecticut",41.7063537,-72.6596244
"Brookfield, Connecticut",41.4825947,-73.4095652
"Danielson, Connecticut",41.8025986,-71.8859054
"Fairfield, Connecticut",41.1408363,-73.2612615
"New Fairfield, Connecticut",41.4660993,-73.48564610000001
"Wallingford, Connecticut",41.4570108,-72.8230736
"Wilton, Connecticut",41.1953739,-73.4378988
"Putman, Connecticut",41.90460119999999,-71.8689917
"Danbury, Connecticut",41.394817,-73.4540111
"Salisbury, Connecticut",41.983426,-73.4212318
"South Meriden, Connecticut",41.51620870000001,-72.8337112
"Brooklyn, Connecticut",41.7881236,-71.9497216
"Granby, Connecticut",41.9540614,-72.7887705
"New Milford, Connecticut",41.5770433,-73.4085463
"Ridgefield, Connecticut",41.28406349999999,-73.4975412
"Windsor, Connecticut",41.8525984,-72.64370219999999
"Plainfield, Connecticut",41.6764876,-71.91507299999999
"Westport, Connecticut",41.1414717,-73.3579049
"San Jose, Connecticut",41.3086711,-72.8987605
"Colchester, Connecticut",41.5756728,-72.3320051
"Newington, Connecticut",41.6972996,-72.7228293
"Arlington, Connecticut",41.7712762,-73.0598438
"East Hartford, Connecticut",41.7634219,-72.6128339
"Naugatuck, Connecticut",41.485921,-73.0506972
"Rockville, Connecticut",41.8667645,-72.4495287
"Dover, Delaware",39.158168,-75.5243682
"Newark, Delaware",39.6837226,-75.74965720000002
"Smyrna, Delaware",39.2998339,-75.6046494
"Bear, Delaware",39.6292788,-75.6582628
"Hialeah, Delaware",25.8575963,-80.2781057
"Hialeah, Delaware",38.9108325,-75.52766989999999
"Wilmington, Delaware",39.744655,-75.5483909
"Claymont, Delaware",39.8006685,-75.4596404
"New Castle, Delaware",39.6620397,-75.5668166
"New Smyrna Beach, Delaware",29.0564015,-80.9423624
"Clayton, Delaware",39.2906671,-75.6343727
"Washington, District of Columbia",38.9071923,-77.0368707
"Fort Pierce, Florida",27.4467056,-80.3256056
"Jacksonville, Florida",30.3321838,-81.65565099999999
"New Port Richey, Florida",28.2441768,-82.7192671
"Saint Petersburg, Florida",27.7676008,-82.64029149999999
"Tampa, Florida",27.950575,-82.4571776
"Orlando, Florida",28.5383355,-81.3792365
"Orange Park, Florida",30.1660736,-81.706484
"Viera, Florida",28.2666258,-80.72905589999999
"Deland, Florida",29.028318,-81.3031179
"Miami Beach, Florida",25.790654,-80.1300455
"North Miami Beach, Florida",25.9331488,-80.1625463
"North Port, Florida",27.044224,-82.2359254
